Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Acc_3,F1_score_3,Loss
rcm_1,"(78.38, 1.78)","(78.97, 1.55)","(81.39, 1.13)","(81.53, 1.06)","(69.8, 0.37)","(66.76, 1.5)","(350.95, 7.47)   音频标签"
rcm_5,"(82.06, 1.69)","(82.38, 1.47)","(84.85, 0.97)","(84.82, 0.84)","(73.35, 1.06)","(70.96, 1.07)","(427.93, 4.19)"
rcm_5,"(82.32, 2.0)","(82.6, 1.79)","(84.95, 1.41)","(84.9, 1.31)","(73.17, 0.98)","(71.23, 0.86)","(426.77, 2.91)"
rcm_5,"(81.71, 1.76)","(82.11, 1.56)","(84.43, 0.81)","(84.49, 0.72)","(72.08, 0.56)","(69.29, 0.7)","(426.97, 3.87)"
rcm_5,"(82.41, 1.22)","(82.67, 1.06)","(84.74, 0.68)","(84.69, 0.81)","(72.08, 0.76)","(69.6, 0.61)","(428.83, 2.9)"
rcm_5,"(82.19, 1.97)","(82.63, 1.8)","(85.15, 1.34)","(85.24, 1.25)","(72.82, 1.39)","(70.52, 1.46)","(427.88, 1.33)  去除掩码"
rcm,"(80.04, 2.04)","(80.39, 1.86)","(83.14, 1.37)","(83.07, 1.3)","(71.55, 1.49)","(68.24, 2.24)","(434.02, 17.19)"
rcm_5,"(80.04, 2.09)","(80.63, 1.88)","(83.14, 1.23)","(83.32, 1.11)","(71.69, 1.26)","(69.75, 0.83)","(429.11, 3.86)"
rcm_5,"(82.14, 1.77)","(82.35, 1.53)","(84.38, 0.97)","(84.28, 1.0)","(71.99, 1.18)","(69.31, 1.05)","(428.69, 3.02)"
rcm_5,"(81.49, 1.85)","(81.9, 1.72)","(84.28, 1.07)","(84.32, 1.06)","(72.38, 0.99)","(70.17, 1.06)","(428.16, 1.76)"
rcm_5,"(82.01, 1.79)","(82.26, 1.59)","(84.48, 1.17)","(84.39, 1.2)","(72.47, 1.28)","(69.7, 1.5)","(428.53, 3.61)"
rcm_5,"(81.84, 1.19)","(82.17, 0.96)","(84.54, 0.43)","(84.52, 0.47)","(72.47, 0.64)","(69.72, 1.06)","(427.27, 3.68)"
rcm_5,"(82.32, 1.82)","(82.58, 1.62)","(84.95, 1.1)","(84.88, 1.18)","(72.91, 1.09)","(70.36, 1.2)","(426.87, 2.75)"
rcm_5,"(81.75, 1.47)","(82.2, 1.32)","(84.85, 1.01)","(84.93, 0.93)","(72.69, 1.48)","(70.23, 1.65)","(427.0, 3.4)"
rcm_5,"(82.58, 1.18)","(82.77, 0.98)","(84.74, 0.62)","(84.63, 0.75)","(72.56, 1.1)","(69.89, 1.29)","(428.3, 2.03)"
rcm_5,"(80.83, 2.54)","(81.02, 2.18)","(83.09, 1.34)","(82.92, 1.44)","(71.12, 1.26)","(68.28, 1.76)","(430.4, 4.35)"
rcm_5,"(81.45, 0.76)","(81.76, 0.61)","(83.71, 0.64)","(83.69, 0.63)","(72.65, 0.77)","(70.53, 0.95)","(428.6, 3.39)"
rcm_5,"(80.83, 3.14)","(81.12, 2.85)","(83.81, 2.26)","(83.72, 2.18)","(72.47, 2.08)","(69.53, 2.92)","(433.09, 8.51)"
rcm_5,"(81.71, 1.66)","(82.09, 1.54)","(84.43, 1.16)","(84.46, 1.12)","(72.74, 1.41)","(70.18, 1.07)","(427.76, 3.56)"
